"","Year","Area","Street","Street.2"
"493",2011,"Birmingham","Windsorhousejarvisroaderdington",NA
"494",2011,"Birmingham","Wittonlodgeroad",NA
"495",2011,"Birmingham","Wittonlodgeroaderdington",NA
"496",2011,"Birmingham","Yorkroad",NA
"497",2011,"Birmingham","Abdonave",NA
"498",2011,"Birmingham","Alcesterroadsouth",NA
"499",2011,"Birmingham","Alvechurchrd",NA
"500",2011,"Birmingham","Ardenroad",NA
"501",2011,"Birmingham","Ardencotefroad",NA
"502",2011,"Birmingham","Ashleyclose",NA
"503",2011,"Birmingham","Baltispicebristolrdsouth",NA
"504",2011,"Birmingham","Barneshill",NA
"505",2011,"Birmingham","Barrowhouse",NA
"506",2011,"Birmingham","Bellstreet",NA
"507",2011,"Birmingham","Birminghamnewstreet",NA
"508",2011,"Birmingham","Birminghamnewstreet",NA
"509",2011,"Birmingham","Birminghamnewstreet",NA
"510",2011,"Birmingham","Birminghamstreetoldbury",NA
"511",2011,"Birmingham","Blandfordroad",NA
